date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:34	22382/22382	---M-Z	200	added ('OK')	text/html	etag:W/%225c74f6b9-576e%22	https://technext.github.io/logistics/index.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/index.html	(from )
14:40:35	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	https://technext.github.io/robots.txt		(from )
14:40:35	79820/79820	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-137cc%22	https://technext.github.io/logistics/fonts/icomoon/style.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/icomoon/style.css	(from https://technext.github.io/logistics/index.html)
14:40:35	159785/159785	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-27029%22	https://technext.github.io/logistics/css/bootstrap.min.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/bootstrap.min.css	(from https://technext.github.io/logistics/index.html)
14:40:35	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-1b26%22	https://technext.github.io/logistics/css/magnific-popup.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/magnific-popup.css	(from https://technext.github.io/logistics/index.html)
14:40:36	21738/21738	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-54ea%22	https://technext.github.io/logistics/css/jquery-ui.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/jquery-ui.css	(from https://technext.github.io/logistics/index.html)
14:40:36	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-b78%22	https://technext.github.io/logistics/css/owl.carousel.min.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/owl.carousel.min.css	(from https://technext.github.io/logistics/index.html)
14:40:36	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-3c5%22	https://technext.github.io/logistics/css/owl.theme.default.min.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/owl.theme.default.min.css	(from https://technext.github.io/logistics/index.html)
14:40:36	17144/17144	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-42f8%22	https://technext.github.io/logistics/css/bootstrap-datepicker.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/bootstrap-datepicker.css	(from https://technext.github.io/logistics/index.html)
14:40:37	1300/1300	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-514%22	https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/flaticon.css	(from https://technext.github.io/logistics/index.html)
14:40:37	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-657f%22	https://technext.github.io/logistics/css/aos.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/aos.css	(from https://technext.github.io/logistics/index.html)
14:40:37	41297/41297	---M-Z	200	added ('OK')	text/css	etag:W/%225c74f6b9-a151%22	https://technext.github.io/logistics/css/style.css	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/style.css	(from https://technext.github.io/logistics/index.html)
14:40:37	18483/18483	---M-Z	200	added ('OK')	text/html	etag:W/%225c74f6b9-4833%22	https://technext.github.io/logistics/about.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/about.html	(from https://technext.github.io/logistics/index.html)
14:40:38	13256/13256	---M-Z	200	added ('OK')	text/html	etag:W/%225c74f6b9-33c8%22	https://technext.github.io/logistics/services.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/services.html	(from https://technext.github.io/logistics/index.html)
14:40:38	16180/16180	---M-Z	200	added ('OK')	text/html	etag:W/%225c74f6b9-3f34%22	https://technext.github.io/logistics/industries.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/industries.html	(from https://technext.github.io/logistics/index.html)
14:40:38	11601/11601	---M-Z	200	added ('OK')	text/html	etag:W/%225c74f6b9-2d51%22	https://technext.github.io/logistics/blog.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/blog.html	(from https://technext.github.io/logistics/index.html)
14:40:38	10326/10326	---M-Z	200	added ('OK')	text/html	etag:W/%225c74f6b9-2856%22	https://technext.github.io/logistics/contact.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/contact.html	(from https://technext.github.io/logistics/index.html)
14:40:39	415489/415489	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-65701%22	https://technext.github.io/logistics/images/hero_bg_1.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/hero_bg_1.jpg	(from https://technext.github.io/logistics/index.html)
14:40:39	169019/169019	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-2943b%22	https://technext.github.io/logistics/images/img_1.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/img_1.jpg	(from https://technext.github.io/logistics/index.html)
14:40:40	62833/62833	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-f571%22	https://technext.github.io/logistics/images/img_2.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/img_2.jpg	(from https://technext.github.io/logistics/index.html)
14:40:40	132671/132671	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-2063f%22	https://technext.github.io/logistics/images/img_3.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/img_3.jpg	(from https://technext.github.io/logistics/index.html)
14:40:40	109713/109713	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-1ac91%22	https://technext.github.io/logistics/images/img_4.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/img_4.jpg	(from https://technext.github.io/logistics/index.html)
14:40:40	172138/172138	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-2a06a%22	https://technext.github.io/logistics/images/img_5.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/img_5.jpg	(from https://technext.github.io/logistics/index.html)
14:40:41	153470/153470	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-2577e%22	https://technext.github.io/logistics/images/hero_bg_2.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/hero_bg_2.jpg	(from https://technext.github.io/logistics/index.html)
14:40:41	28652/28652	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-6fec%22	https://technext.github.io/logistics/images/person_3.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/person_3.jpg	(from https://technext.github.io/logistics/index.html)
14:40:41	76764/76764	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-12bdc%22	https://technext.github.io/logistics/images/person_2.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/person_2.jpg	(from https://technext.github.io/logistics/index.html)
14:40:41	61697/61697	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-f101%22	https://technext.github.io/logistics/images/person_4.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/person_4.jpg	(from https://technext.github.io/logistics/index.html)
14:40:41	86756/86756	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-152e4%22	https://technext.github.io/logistics/images/person_5.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/person_5.jpg	(from https://technext.github.io/logistics/index.html)
14:40:42	105514/105514	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-19c2a%22	https://technext.github.io/logistics/images/blog_1.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/blog_1.jpg	(from https://technext.github.io/logistics/index.html)
14:40:42	40512/40512	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-9e40%22	https://technext.github.io/logistics/images/blog_2.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/blog_2.jpg	(from https://technext.github.io/logistics/index.html)
14:40:42	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/logistics/booking.html	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/booking.html	(from https://technext.github.io/logistics/index.html)
14:40:43	86926/86926	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c74f6b9-1538e%22	https://technext.github.io/logistics/js/jquery-3.3.1.min.js	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/js/jquery-3.3.1.min.js	(from https://technext.github.io/logistics/index.html)
